0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Elastic_modulus,energy_efficiency,num_reinforced
1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.420354755,0.321534059,6
1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.396332218,0.337743469,5
1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1.417960718,0.316257881,6
1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.387816205,0.360336101,5
1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.421521419,0.34199903,6
1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1.376577535,0.396515232,4
1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1.386244791,0.383406399,5
0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1.399517498,0.432693317,4
1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1.430062074,0.33433711,6
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.36390508,0.396661157,4
1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.411794053,0.364759723,5
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.385987481,0.381949367,5
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1.445703732,0.32943241,6
1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1.40443997,0.318588961,6
0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1.453516712,0.326698135,6
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.359573528,0.404711784,4
1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1.451347844,0.337445802,6
1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1.487478162,0.355978939,6
0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1.471420875,0.347468823,6
1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1.544877543,0.322575596,6
1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1.424625126,0.351031061,6
1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1.387420205,0.353692055,5
1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1.457368312,0.354005216,6
1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1.423051544,0.313670707,6
1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.423478951,0.342899947,6
1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1.459935956,0.344225326,6
1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1.42989111,0.323754158,6
1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1.431494279,0.333010963,6
1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1.392793088,0.364375936,5
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.281,0.484575,2
0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1.399416091,0.344512768,5
1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1.439341998,0.374480187,5
0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1.379432546,0.336655835,4
1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1.426007473,0.32172498,6
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1.388988678,0.387293426,5
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.442790908,0.376820416,5
1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1.523369539,0.379843589,6
1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1.468209368,0.34392372,6
1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1.494828619,0.33586303,6
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1.408917726,0.365933076,5
1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.349872565,0.383569061,4
1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.349377408,0.402086294,4
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.393253283,0.363264799,5
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1.390693309,0.342070526,5
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.377255443,0.378107683,4
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.321023223,0.455088231,3
1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1.410201842,0.351764938,6
1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1.412645291,0.35358685,6
